time,pair,tf,dir,entry,stop,target,stop_pips,R
2022-01-03 17:00:00,EURUSD,H1,sell,1.12945,1.13013,1.12809,6.8,-1.155
2022-01-04 03:00:00,EURUSD,H1,sell,1.12895,1.13081,1.12523,18.6,-1.063
2022-01-05 10:00:00,EURUSD,H1,buy,1.13369,1.13020,1.14067,34.9,-1.035
2022-01-05 23:00:00,EURUSD,H1,sell,1.13122,1.13215,1.12936,9.3,1.882
2022-01-07 04:00:00,EURUSD,H1,buy,1.13146,1.12970,1.13498,17.6,-1.066
2022-01-10 14:00:00,EURUSD,H1,sell,1.13232,1.13357,1.12982,12.5,-1.091
2022-01-11 19:00:00,EURUSD,H1,buy,1.13708,1.13608,1.13908,10.0,-1.111
2022-01-18 20:00:00,EURUSD,H1,sell,1.13221,1.13314,1.13035,9.3,-1.118
2022-02-03 21:00:00,EURUSD,H1,buy,1.14631,1.14308,1.15277,32.3,-1.037
2022-02-13 23:00:00,EURUSD,H1,buy,1.13450,1.13395,1.13560,5.5,-1.185
2022-02-14 18:00:00,EURUSD,H1,sell,1.13056,1.13087,1.12994,3.1,-1.287
2022-02-15 11:00:00,EURUSD,H1,buy,1.13624,1.13192,1.14488,43.2,-1.028
2022-02-16 16:00:00,EURUSD,H1,buy,1.13718,1.13691,1.13772,2.7,-1.316
2022-02-17 23:00:00,EURUSD,H1,sell,1.13636,1.13722,1.13464,8.6,-1.127
2022-02-18 16:00:00,EURUSD,H1,sell,1.13203,1.13366,1.12877,16.3,-1.071
2022-02-21 14:00:00,EURUSD,H1,sell,1.13182,1.13500,1.12546,31.8,-1.038
2022-02-22 13:00:00,EURUSD,H1,sell,1.13288,1.13549,1.12766,26.1,-1.046
2022-02-24 05:00:00,EURUSD,H1,sell,1.11781,1.12634,1.10075,85.3,-1.014
2022-02-24 17:00:00,EURUSD,H1,sell,1.11968,1.12222,1.11460,25.4,-1.047
2022-02-27 21:00:00,EURUSD,H1,sell,1.11570,1.11954,1.10802,38.4,-1.032
2022-02-28 04:00:00,EURUSD,H1,sell,1.11779,1.12010,1.11317,23.1,-1.051
2022-02-28 14:00:00,EURUSD,H1,buy,1.12222,1.11964,1.12738,25.8,-1.046
2022-03-01 18:00:00,EURUSD,H1,sell,1.11322,1.11389,1.11188,6.7,1.843
2022-03-03 03:00:00,EURUSD,H1,sell,1.10911,1.11072,1.10589,16.1,1.928
2022-03-03 20:00:00,EURUSD,H1,sell,1.10489,1.10687,1.10093,19.8,1.941
2022-03-09 16:00:00,EURUSD,H1,buy,1.10740,1.10606,1.11008,13.4,-1.085
2022-03-13 20:00:00,EURUSD,H1,sell,1.09170,1.09397,1.08716,22.7,-1.052
2022-03-15 01:00:00,EURUSD,H1,sell,1.09708,1.09863,1.09398,15.5,-1.075
2022-03-16 04:00:00,EURUSD,H1,buy,1.09868,1.09547,1.10510,32.1,-1.037
2022-03-16 19:00:00,EURUSD,H1,buy,1.10513,1.10066,1.11407,44.7,-1.027
2022-03-17 03:00:00,EURUSD,H1,buy,1.10528,1.10209,1.11166,31.9,1.962
2022-03-17 17:00:00,EURUSD,H1,buy,1.10935,1.10883,1.11039,5.2,1.806
2022-03-18 03:00:00,EURUSD,H1,sell,1.10676,1.10952,1.10124,27.6,1.957
2022-03-30 04:00:00,EURUSD,H1,buy,1.11561,1.11044,1.12595,51.7,-1.024
2022-03-30 16:00:00,EURUSD,H1,buy,1.11582,1.11467,1.11812,11.5,-1.098
2022-03-31 12:00:00,EURUSD,H1,sell,1.10816,1.11337,1.09774,52.1,1.977
2022-04-01 04:00:00,EURUSD,H1,sell,1.10605,1.10767,1.10281,16.2,1.928
2022-04-04 22:00:00,EURUSD,H1,sell,1.09691,1.09807,1.09459,11.6,-1.097
2022-04-06 16:00:00,EURUSD,H1,sell,1.08945,1.09298,1.08239,35.3,-1.034
2022-04-10 23:00:00,EURUSD,H1,sell,1.08831,1.08956,1.08581,12.5,-1.091
2022-04-11 16:00:00,EURUSD,H1,sell,1.08829,1.08955,1.08577,12.6,1.910
2022-04-12 20:00:00,EURUSD,H1,sell,1.08156,1.08323,1.07822,16.7,-1.070
2022-04-13 19:00:00,EURUSD,H1,buy,1.08950,1.08753,1.09344,19.7,-1.060
2022-04-20 21:00:00,EURUSD,H1,sell,1.08376,1.08554,1.08020,17.8,-1.066
2022-04-21 14:00:00,EURUSD,H1,buy,1.08384,1.08320,1.08512,6.4,-1.163
2022-04-22 11:00:00,EURUSD,H1,sell,1.07888,1.08458,1.06748,57.0,1.979
2022-04-25 10:00:00,EURUSD,H1,sell,1.07072,1.07591,1.06034,51.9,1.976
2022-04-26 08:00:00,EURUSD,H1,sell,1.06790,1.06981,1.06408,19.1,1.939
2022-04-26 21:00:00,EURUSD,H1,sell,1.06465,1.06488,1.06419,2.3,-1.352
2022-04-27 16:00:00,EURUSD,H1,sell,1.05575,1.05732,1.05261,15.7,1.926
2022-05-04 23:00:00,EURUSD,H1,sell,1.06176,1.06427,1.05674,25.1,1.953
2022-05-09 10:00:00,EURUSD,H1,sell,1.05275,1.05743,1.04339,46.8,-1.026
2022-05-09 16:00:00,EURUSD,H1,buy,1.05588,1.05496,1.05772,9.2,1.880
2022-05-12 00:00:00,EURUSD,H1,sell,1.05178,1.05302,1.04930,12.4,1.908
2022-05-13 05:00:00,EURUSD,H1,sell,1.03743,1.04205,1.02819,46.2,-1.026
2022-05-17 16:00:00,EURUSD,H1,buy,1.05466,1.05201,1.05996,26.5,-1.045
2022-05-18 06:00:00,EURUSD,H1,buy,1.05182,1.04931,1.05684,25.1,-1.047
2022-05-19 02:00:00,EURUSD,H1,sell,1.04788,1.05076,1.04212,28.8,-1.042
2022-05-19 19:00:00,EURUSD,H1,buy,1.05795,1.05770,1.05845,2.5,-1.333
2022-05-23 11:00:00,EURUSD,H1,buy,1.06694,1.06433,1.07216,26.1,1.954
2022-05-24 10:00:00,EURUSD,H1,buy,1.07266,1.06945,1.07908,32.1,-1.037
2022-05-26 02:00:00,EURUSD,H1,sell,1.06754,1.07035,1.06192,28.1,-1.043
2022-05-26 10:00:00,EURUSD,H1,buy,1.07172,1.06880,1.07756,29.2,1.959
2022-05-27 12:00:00,EURUSD,H1,sell,1.07103,1.07513,1.06283,41.0,-1.030
2022-05-29 21:00:00,EURUSD,H1,buy,1.07483,1.07251,1.07947,23.2,-1.051
2022-05-30 06:00:00,EURUSD,H1,buy,1.07748,1.07391,1.08462,35.7,-1.034
2022-05-31 03:00:00,EURUSD,H1,sell,1.07366,1.07561,1.06976,19.5,1.940
2022-06-01 11:00:00,EURUSD,H1,sell,1.06446,1.07315,1.04708,86.9,-1.014
2022-06-02 17:00:00,EURUSD,H1,buy,1.07471,1.07367,1.07679,10.4,-1.107
2022-06-07 00:00:00,EURUSD,H1,buy,1.06826,1.06695,1.07088,13.1,-1.087
2022-06-08 20:00:00,EURUSD,H1,sell,1.07121,1.07217,1.06929,9.6,-1.115
2022-06-27 23:00:00,EURUSD,H1,sell,1.05811,1.05874,1.05685,6.3,-1.166
2022-06-30 04:00:00,EURUSD,H1,sell,1.04412,1.04696,1.03844,28.4,-1.042
2022-06-30 17:00:00,EURUSD,H1,buy,1.04792,1.04665,1.05046,12.7,-1.090
2022-07-01 05:00:00,EURUSD,H1,buy,1.04559,1.04316,1.05045,24.3,-1.049
2022-07-01 13:00:00,EURUSD,H1,sell,1.04106,1.04207,1.03904,10.1,-1.110
2022-07-04 01:00:00,EURUSD,H1,buy,1.04328,1.04234,1.04516,9.4,-1.117
2022-07-04 23:00:00,EURUSD,H1,sell,1.04346,1.04391,1.04256,4.5,-1.217
2022-07-05 17:00:00,EURUSD,H1,sell,1.02646,1.02720,1.02498,7.4,1.855
2022-07-06 16:00:00,EURUSD,H1,sell,1.01797,1.01996,1.01399,19.9,-1.059
2022-07-19 22:00:00,EURUSD,H1,sell,1.02418,1.02494,1.02266,7.6,-1.141
2022-07-22 16:00:00,EURUSD,H1,buy,1.02119,1.01889,1.02579,23.0,-1.052
2022-07-25 15:00:00,EURUSD,H1,sell,1.02254,1.02299,1.02164,4.5,-1.217
2022-07-26 11:00:00,EURUSD,H1,sell,1.01156,1.01538,1.00392,38.2,-1.032
2022-07-27 04:00:00,EURUSD,H1,buy,1.01414,1.01264,1.01714,15.0,-1.077
2022-07-28 21:00:00,EURUSD,H1,buy,1.01971,1.01878,1.02157,9.3,1.882
2022-07-31 21:00:00,EURUSD,H1,buy,1.02326,1.02043,1.02892,28.3,1.958
2022-08-01 16:00:00,EURUSD,H1,buy,1.02607,1.02442,1.02937,16.5,-1.070
2022-08-10 17:00:00,EURUSD,H1,buy,1.02993,1.02935,1.03109,5.8,-1.177
2022-08-11 09:00:00,EURUSD,H1,buy,1.03588,1.03209,1.04346,37.9,-1.032
2022-08-11 23:00:00,EURUSD,H1,buy,1.03171,1.03038,1.03437,13.3,-1.086
